id,url,caption
0,https://raw.githubusercontent.com/milindkulgod/image/master/0.jpg,"['a', 'man', 'on', 'a', 'bike', 'riding', 'a', 'dirt', 'road']"
1,https://raw.githubusercontent.com/milindkulgod/image/master/1.jpg,"['a', 'dog', 'nose', 'and', 'scarf', 'stands', 'on', 'the', 'grass']"
2,https://raw.githubusercontent.com/milindkulgod/image/master/2.jpg,"['a', 'dog', 'is', 'holding', 'a', 'collar', 'sitting', 'on', 'top', 'of', 'a', 'snowy', 'ledge']"
3,https://raw.githubusercontent.com/milindkulgod/image/master/3.jpg,"['a', 'black', 'and', 'white', 'dog', 'running', 'with', 'a', 'frisbee']"
4,https://raw.githubusercontent.com/milindkulgod/image/master/4.jpg,"['a', 'dog', 'is', 'napping', 'on', 'top', 'of', 'a', 'luggage']"
5,https://raw.githubusercontent.com/milindkulgod/image/master/5.jpg,"['a', 'dog', 'is', 'standing', 'on', 'top', 'of', 'a', 'yellow', 'frisbee']"
6,https://raw.githubusercontent.com/milindkulgod/image/master/6.jpg,"['a', 'dog', 'is', 'too', 'close', 'to', 'each', 'other']"
7,https://raw.githubusercontent.com/milindkulgod/image/master/7.jpg,"['a', 'young', 'boy', 'playing', 'a', 'frisbee']"
8,https://raw.githubusercontent.com/milindkulgod/image/master/8.jpg,"['a', 'person', 'in', 'the', 'air', 'while', 'riding', 'a', 'snow', 'board']"
9,https://raw.githubusercontent.com/milindkulgod/image/master/9.jpg,"['a', 'dog', 'wading', 'in', 'the', 'grass']"
10,https://raw.githubusercontent.com/milindkulgod/image/master/10.jpg,"['a', 'baseball', 'player', 'is', 'played', 'on', 'a', 'fast', 'pitch']"
11,https://raw.githubusercontent.com/milindkulgod/image/master/11.jpg,"['a', 'man', 'jumping', 'in', 'the', 'air']"
12,https://raw.githubusercontent.com/milindkulgod/image/master/12.jpg,"['a', 'dog', 'is', 'standing', 'in', 'the', 'water']"
13,https://raw.githubusercontent.com/milindkulgod/image/master/13.jpg,"['a', 'statue', 'of', 'a', 'couple']"
14,https://raw.githubusercontent.com/milindkulgod/image/master/14.jpg,"['a', 'baby', 'chewing', 'on', 'the', 'beach']"
15,https://raw.githubusercontent.com/milindkulgod/image/master/15.jpg,"['a', 'man', 'in', 'a', 'red', 'and', 'a', 'fish', 'costume']"
16,https://raw.githubusercontent.com/milindkulgod/image/master/16.jpg,"['a', 'man', 'and', 'a', 'man', 'riding', 'a', 'wet', 'suits', 'walking', 'along', 'the', 'beach']"
17,https://raw.githubusercontent.com/milindkulgod/image/master/17.jpg,"['a', 'young', 'boy']"
18,https://raw.githubusercontent.com/milindkulgod/image/master/18.jpg,"['a', 'dog', 'is', 'standing', 'next', 'to', 'each', 'other']"
19,https://raw.githubusercontent.com/milindkulgod/image/master/19.jpg,"['a', 'man', 'with', 'a', 'dog', 'sitting', 'in', 'a', 'costume']"
20,https://raw.githubusercontent.com/milindkulgod/image/master/20.jpg,"['a', 'small', 'child', 'at', 'a', 'cellphone']"
21,https://raw.githubusercontent.com/milindkulgod/image/master/21.jpg,"['a', 'man', 'sitting', 'on', 'a', 'bench']"
22,https://raw.githubusercontent.com/milindkulgod/image/master/22.jpg,"['a', 'small', 'white', 'dog', 'is', 'walking', 'across', 'the', 'water']"
23,https://raw.githubusercontent.com/milindkulgod/image/master/23.jpg,"['a', 'person', 'sitting', 'on', 'top', 'with', 'a', 'large', 'stack', 'of', 'a', 'red', 'painted', 'on', 'it']"
24,https://raw.githubusercontent.com/milindkulgod/image/master/24.jpg,"['a', 'truck', 'is', 'moves', 'on', 'the', 'sand', 'near', 'the', 'water']"
25,https://raw.githubusercontent.com/milindkulgod/image/master/25.jpg,"['a', 'man', 'is', 'using', 'a', 'bird', 'on', 'the', 'rocks']"
26,https://raw.githubusercontent.com/milindkulgod/image/master/26.jpg,"['a', 'dog', 'snuggled', 'up', 'in', 'a', 'dog']"
27,https://raw.githubusercontent.com/milindkulgod/image/master/27.jpg,"['a', 'man', 'holding', 'a', 'cell', 'phone']"
28,https://raw.githubusercontent.com/milindkulgod/image/master/28.jpg,"['a', 'young', 'girl', 'holding', 'a', 'baby', 'holding', 'a', 'hand', 'to', 'throw', 'a', 'frisbee', 'in', 'the', 'water']"
29,https://raw.githubusercontent.com/milindkulgod/image/master/29.jpg,"['a', 'young', 'boy', 'holding', 'a', 'frisbee', 'in', 'the', 'water']"
30,https://raw.githubusercontent.com/milindkulgod/image/master/30.jpg,"['a', 'man', 'in', 'the', 'air', 'while', 'riding', 'a', 'board']"
31,https://raw.githubusercontent.com/milindkulgod/image/master/31.jpg,"['a', 'dog', 'is', 'sniffing', 'a', 'collar', 'looking', 'at', 'a', 'body', 'of', 'water']"
32,https://raw.githubusercontent.com/milindkulgod/image/master/32.jpg,"['a', 'man', 'holding', 'a', 'dog', 'stands', 'on', 'a', 'boat']"
33,https://raw.githubusercontent.com/milindkulgod/image/master/33.jpg,"['a', 'man', 'is', 'shown', 'on', 'a', 'bike']"
34,https://raw.githubusercontent.com/milindkulgod/image/master/34.jpg,"['a', 'man', 'on', 'skis', 'walking', 'in', 'the', 'snow']"
35,https://raw.githubusercontent.com/milindkulgod/image/master/35.jpg,"['a', 'dog', 'is', 'sniffing', 'a', 'frisbee']"
36,https://raw.githubusercontent.com/milindkulgod/image/master/36.jpg,"['a', 'man', 'using', 'a', 'banana']"
37,https://raw.githubusercontent.com/milindkulgod/image/master/37.jpg,"['a', 'dog', 'is', 'sniffing', 'a', 'dog', 'lying', 'in', 'a', 'field']"
38,https://raw.githubusercontent.com/milindkulgod/image/master/38.jpg,"['a', 'small', 'girl', 'that', 'is', 'sitting', 'in', 'the', 'snow', 'board']"
39,https://raw.githubusercontent.com/milindkulgod/image/master/39.jpg,"['a', 'bunch', 'of', 'horses', 'grazing', 'in', 'the', 'rivers', 'edge']"
40,https://raw.githubusercontent.com/milindkulgod/image/master/40.jpg,"['a', 'bus', 'driver', 'is', 'parked', 'in', 'the', 'desert']"
41,https://raw.githubusercontent.com/milindkulgod/image/master/41.jpg,"['a', 'white', 'bear', 'stands', 'in', 'a', 'grass', 'covered', 'ground']"
42,https://raw.githubusercontent.com/milindkulgod/image/master/42.jpg,"['a', 'small', 'toy', 'truck', 'is', 'in', 'the', 'water']"
43,https://raw.githubusercontent.com/milindkulgod/image/master/43.jpg,"['a', 'group', 'of', 'young', 'girls', 'are', 'playing', 'soccer', 'in', 'match']"
44,https://raw.githubusercontent.com/milindkulgod/image/master/44.jpg,"['a', 'large', 'group', 'of', 'women', 'are', 'holding', 'a', 'dog']"
45,https://raw.githubusercontent.com/milindkulgod/image/master/45.jpg,"['a', 'dog', 'on', 'a', 'dog', 'on', 'a', 'boat']"
46,https://raw.githubusercontent.com/milindkulgod/image/master/46.jpg,"['a', 'sad', 'looking', 'at', 'the', 'back']"
47,https://raw.githubusercontent.com/milindkulgod/image/master/47.jpg,"['a', 'young', 'man', 'is', 'headed', 'down', 'at', 'the', 'ground']"
48,https://raw.githubusercontent.com/milindkulgod/image/master/48.jpg,"['a', 'large', 'group', 'of', 'people', 'went', 'down', 'the', 'street']"
49,https://raw.githubusercontent.com/milindkulgod/image/master/49.jpg,"['a', 'dog', 'is', 'resting', 'in', 'the', 'snow']"
50,https://raw.githubusercontent.com/milindkulgod/image/master/50.jpg,"['a', 'couple', 'of', 'people', 'standing', 'next', 'to', 'a', 'dog', 'in', 'the', 'grass']"
51,https://raw.githubusercontent.com/milindkulgod/image/master/51.jpg,"['a', 'dog', 'lifting', 'out', 'the', 'camera', 'petting', 'a', 'drink', 'container']"
52,https://raw.githubusercontent.com/milindkulgod/image/master/52.jpg,"['a', 'woman', 'wearing', 'a', 'feather']"
53,https://raw.githubusercontent.com/milindkulgod/image/master/53.jpg,"['a', 'man', 'wearing', 'a', 'hat']"
54,https://raw.githubusercontent.com/milindkulgod/image/master/54.jpg,"['a', 'dog', 'is', 'eating', 'some', 'lime', 'slices']"
55,https://raw.githubusercontent.com/milindkulgod/image/master/55.jpg,"['a', 'truck', 'is', 'parked', 'at', 'the', 'back']"
56,https://raw.githubusercontent.com/milindkulgod/image/master/56.jpg,"['a', 'young', 'child', 'holding', 'a', 'red', 'dress', 'holds', 'a', 'red', 'umbrella']"
57,https://raw.githubusercontent.com/milindkulgod/image/master/57.jpg,"['a', 'white', 'dog', 'is', 'standing', 'next', 'to', 'a', 'cow']"
58,https://raw.githubusercontent.com/milindkulgod/image/master/58.jpg,"['a', 'man', 'squatting', 'to', 'a', 'hand']"
59,https://raw.githubusercontent.com/milindkulgod/image/master/59.jpg,"['a', 'small', 'white', 'animals', 'being', 'washed', 'in', 'a', 'river']"
60,https://raw.githubusercontent.com/milindkulgod/image/master/60.jpg,"['a', 'man', 'sits', 'on', 'a', 'subway']"
61,https://raw.githubusercontent.com/milindkulgod/image/master/61.jpg,"['a', 'group', 'of', 'people', 'playing', 'a', 'game']"
62,https://raw.githubusercontent.com/milindkulgod/image/master/62.jpg,"['a', 'young', 'child', 'holding', 'a', 'frisbee', 'in', 'the', 'background']"
63,https://raw.githubusercontent.com/milindkulgod/image/master/63.jpg,"['a', 'young', 'girl', 'sitting', 'at', 'a', 'tray']"
